age,work_class,education,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
49,Private,Associates,Married,Professional,Husband,White,Male,0,0,40,United-States,>50K
42,Private,High School grad,Never-Married,Blue-Collar,Not-in-family,White,Female,0,0,27,United-States,<=50K
33,Self-emp-not-inc,High School grad,Never-Married,Blue-Collar,Own-child,White,Male,0,0,50,United-States,<=50K
25,Private,High School grad,Never-Married,Blue-Collar,Own-child,White,Female,0,0,40,United-States,<=50K
56,Private,Bachelors,Married,Professional,Husband,White,Male,0,0,40,United-States,>50K
19,Private,High School grad,Never-Married,Service,Unmarried,White,Male,0,0,30,United-States,<=50K
45,Self-emp-not-inc,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,65,United-States,>50K
37,Self-emp-inc,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,40,United-States,<=50K
28,Private,High School grad,Never-Married,Other,Unmarried,White,Female,0,0,40,United-States,<=50K
56,Private,Bachelors,Married,Sales,Husband,White,Male,0,0,54,United-States,>50K
45,Local-gov,Masters,Married,Professional,Husband,Asian-Pac-Islander,Male,0,0,35,United-States,>50K
26,Private,Associates,Never-Married,Professional,Own-child,White,Female,0,0,35,United-States,<=50K
17,Private,Dropout,Never-Married,Admin,Own-child,White,Male,0,0,20,Latin-America,<=50K
19,Private,High School grad,Never-Married,Admin,Not-in-family,Black,Male,0,0,25,United-States,<=50K
18,Private,High School grad,Never-Married,Service,Own-child,White,Female,0,0,40,United-States,<=50K
31,Private,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,40,United-States,>50K
22,Private,High School grad,Never-Married,Sales,Not-in-family,Black,Female,0,0,20,United-States,<=50K
22,Private,High School grad,Never-Married,Sales,Own-child,White,Female,0,0,16,United-States,<=50K
51,Local-gov,*,Married,Professional,Husband,White,Male,0,1885,40,United-States,>50K
76,Private,Masters,Widowed,Service,Not-in-family,White,Female,0,0,25,United-States,<=50K
40,Private,Masters,Married,White-Collar,Husband,White,Male,0,0,50,United-States,>50K
52,Private,Dropout,Married,Blue-Collar,Husband,White,Male,0,0,50,United-States,<=50K
27,Private,High School grad,Separated,Service,Unmarried,Asian-Pac-Islander,Female,0,0,20,United-States,<=50K
20,Private,High School grad,Never-Married,Service,Own-child,White,Male,0,0,40,United-States,<=50K
33,Private,High School grad,Married,Service,Not-in-family,Asian-Pac-Islander,Female,0,0,40,United-States,<=50K
35,Private,Dropout,Married,Professional,Husband,White,Male,0,0,42,United-States,<=50K
23,Private,High School grad,Separated,Blue-Collar,Not-in-family,White,Male,0,0,60,United-States,<=50K
46,Private,High School grad,Married,White-Collar,Husband,White,Male,0,0,40,United-States,<=50K
38,Private,Dropout,Married,Blue-Collar,Husband,White,Male,0,0,40,United-States,<=50K
52,Private,Dropout,Married,Admin,Husband,White,Male,0,0,40,United-States,<=50K
30,Private,Bachelors,Married,Professional,Husband,White,Male,99999,0,35,United-States,>50K
40,Local-gov,Associates,Married,Blue-Collar,Husband,White,Male,0,0,80,United-States,>50K
44,Private,Associates,Separated,Admin,Wife,White,Female,0,0,40,United-States,>50K
51,Private,Dropout,Married,Professional,Unmarried,Black,Male,0,0,35,United-States,<=50K
54,Private,High School grad,Separated,Blue-Collar,Not-in-family,White,Male,0,0,60,United-States,<=50K
41,Private,Bachelors,Never-Married,Professional,Not-in-family,White,Male,0,0,40,United-States,<=50K
33,Local-gov,High School grad,Separated,Blue-Collar,Husband,Black,Male,0,0,35,United-States,<=50K
39,Private,High School grad,Married,Other,Husband,White,Male,0,0,54,United-States,>50K
26,Private,Bachelors,Never-Married,Professional,Own-child,Asian-Pac-Islander,Female,0,0,45,United-States,<=50K
22,State-gov,High School grad,Never-Married,Sales,Own-child,*,Female,0,0,30,United-States,<=50K
17,Private,Dropout,Never-Married,Service,Own-child,White,Female,0,0,20,United-States,<=50K
47,Private,Associates,Married,Admin,Husband,White,Male,0,87,55,United-States,<=50K
19,Private,Dropout,Never-Married,Blue-Collar,Not-in-family,White,Male,0,0,52,United-States,<=50K
31,Private,Bachelors,Never-Married,Service,Husband,White,Male,0,0,40,United-States,<=50K
46,Private,Bachelors,Never-Married,Admin,Not-in-family,Black,Female,0,0,40,United-States,<=50K
31,Private,Dropout,Never-Married,Blue-Collar,Own-child,White,Male,0,0,25,United-States,<=50K
62,Self-emp-not-inc,Dropout,Married,White-Collar,Husband,White,Male,25992,0,50,United-States,<=50K
48,State-gov,High School grad,Married,Service,Unmarried,White,Male,0,0,40,United-States,<=50K
31,Private,Bachelors,Never-Married,Admin,Wife,White,Female,0,0,40,United-States,<=50K
23,Private,High School grad,Never-Married,Blue-Collar,Husband,White,Female,0,0,40,United-States,<=50K
46,Self-emp-not-inc,High School grad,Separated,White-Collar,Not-in-family,Black,Female,0,0,36,United-States,<=50K
37,Self-emp-not-inc,Dropout,Never-Married,Admin,Husband,White,Female,0,0,40,United-States,<=50K
23,Private,High School grad,Never-Married,Service,Own-child,White,Female,0,0,16,United-States,<=50K
43,Private,Masters,Separated,White-Collar,Unmarried,White,Female,0,0,40,United-States,<=50K
71,Private,High School grad,Widowed,Professional,Not-in-family,White,Male,0,0,30,*,<=50K
26,Private,High School grad,Married,Service,Not-in-family,White,Female,0,0,48,United-States,<=50K
41,Private,High School grad,Never-Married,Sales,Not-in-family,White,Male,0,0,50,United-States,<=50K
29,Private,*,Married,Blue-Collar,Husband,White,Male,0,0,40,United-States,>50K
23,Private,Bachelors,Never-Married,Sales,Own-child,Asian-Pac-Islander,Female,0,0,24,United-States,<=50K
35,Private,High School grad,Married,Service,Own-child,White,Male,0,0,40,United-States,<=50K
